DST1002*19  X220   0 -11 -11 -11 -14 -16 -16 -15 -14 -14 -14 -15 -13 -11 -11 -11 -10  -5  -2  -5  -4  -8 -11  -6  -6 -11
DST1002*20  X220   0  -5  -4  -6  -4  -4  -2  -2  -2  -1   0   0  -2  -1   0   1   0   0   1   1   0  -1  -1  -1  -2  -1
DST1002*21  X220   0  -4  -3  -4  -4  -4  -6  -5  -3   0   0  -2  -2   0   1   3   3   5   4   3   2   2   2   2   3   0
DST1002*22  X220   0   2  -1  -4  -5  -7  -6  -3  -1  -1  -5  -9 -10  -8  -3  -1  -2  -4  -3  -4  -4  -8 -13 -16 -19  -6
DST1002*23  X220   0 -19 -19 -18 -17 -18 -17 -15 -12 -11  -9 -10  -9  -8  -9 -10 -10  -7  -5  -5  -3  -3  -4  -4  -4 -10
DST1002*24  X220   0  -4  -5  -6  -8  -9  -9  -9  -7  -7  -7  -7  -6  -6  -5  -4  -4  -4  -6  -6  -8 -10 -10  -9  -9  -7
DST1002*25  X220   0 -10 -11 -12 -10 -11 -11 -11  -9  -8  -9  -7  -4  -3  -2  -1   1  -1   3   8   2   0  -5  -9  -8  -5
DST1002*26  X220   0 -10 -10 -11 -12 -13 -13 -12 -11  -9  -9 -10  -9  -7  -4  -4  -5  -5  -4  -3  -5  -5  -5  -4  -2  -8
DST1002*27  X220   0  -2  -1  -1  -1  -3  -4  -3  -4  -4  -2  -1   2   3   5   3  -1  -4  -5  -4  -4   0   1   1   0  -1
DST1002*28  X220   0   2   4   7  10  12  13  13   7   7   7   7   7   5   6   5   4   5   2   4   4   4   3   2   0   6
DST1003*01  X220   0   3   7  10  10  10   8   9   9   8   8   8   3   3   0   7  -3   0   6   6   5   3   4   3   1   5
DST1003*02  X220   0  -3  -4  -2  -2  -2  -3  -3  -3   0   0  -1  -4  -7  -9  -8  -9  -2   0   1   1  -1  -4  -6 -10  -3
DST1003*03  X220   0  -7  -8  -8 -10  -9  -8  -5  -5  -4  -8  -8  -7  -4  -4  -1  -2  -3  -9 -13 -12 -14 -14 -14 -20  -8
DST1003*04  X220   0 -19 -13 -12 -12 -19 -23 -20 -17 -14 -13 -13 -11 -12 -16 -23 -22 -17 -12 -10 -10 -10  -9  -5  -6 -14
DST1003*05  X220   0  -6  -8  -8  -8  -8  -9  -8  -9 -12 -11 -13 -13 -13 -11 -10 -10 -12 -11 -10  -7  -5  -3  -4  -6  -9
DST1003*06  X220   0  -9 -10  -9  -8  -7  -9 -10  -9  -7  -6  -8  -9  -9  -7  -6  -6  -6  -6  -7  -1   1   6   3  -2  -6
DST1003*07  X220   0  -5  -1   0   1  -4 -14 -18 -13  -9  -9  -9 -11  -9  -7  -5  -5  -6  -6  -6  -6  -6  -5  -5  -5  -7
DST1003*08  X220   0  -6  -6  -4  -3   0  -2  -6  -9  -8  -9  -9  -8  -8  -7  -8  -9  -8  -5  -7  -8  -7  -8  -7  -6  -7
DST1003*09  X220   0  -5  -4  -5  -7  -6  -6  -5  -5  -2  -1   0   2   2   1  -3   0   0   1   2   4   5   8  10   7   0
DST1003*10  X220   0   2   2   4   4   4   1   1  -1  -1   2   6   6   5   0   0  -6 -11 -13 -16 -19 -23 -20 -19 -18  -5
DST1003*11  X220   0 -20 -20 -21 -24 -28 -30 -27 -25 -20 -16 -14 -16 -10  -9  -9 -10  -8  -8 -10  -9 -12 -10  -8  -8 -16
DST1003*12  X220   0 -12 -13 -15 -12 -14 -18 -19 -15 -13 -11 -15 -17 -17 -15 -14 -14 -13 -14 -16 -19 -19 -17 -16 -17 -15
DST1003*13  X220   0 -17 -18 -19 -18 -18 -15 -14 -14 -12 -11 -10 -10  -7  -6  -6  -7  -8 -10 -11 -13 -13 -10  -9  -8 -12
DST1003*14  X220   0 -12 -16 -17 -15 -15 -13 -13 -15 -12 -10 -11 -10 -13 -10  -7  -8  -8  -5  -4  -8 -14 -12  -8  -7 -11
DST1003*15  X220   0  -4  -2  -7  -9  -9  -8  -7  -9 -11 -10  -8  -5  -3   0   0   0  -2  -3  -2  -5  -5  -2  -1  -2  -5
DST1003*16  X220   0  -3  -2  -4  -3  -2   0   5  -3  -5  -5  -5  -5  -6  -5  -7  -8 -10  -8  -5  -1  -4   0   2   5  -3
DST1003*17  X220   0   7   5   4   1  -5 -10  -9  -8 -11  -9  -7  -8  -7  -4  -3  -3   0   2   2   0  -3  -3  -5  -8  -3
DST1003*18  X220   0 -13 -21 -26 -26 -15  -9  -7  -5  -4  -4  -2  -1   2   3   2   2   3   4   6   2  -1   1  -1   0  -5
DST1003*19  X220   0  -2  -5  -6  -5  -4   0   0  -3  -8  -9  -6  -3   1   3   2  -3  -3  -1   0  -3  -4  -3  -3  -3  -3
DST1003*20  X220   0  -5  -5  -6  -7  -9  -7  -6  -8 -11  -9  -8  -6  -8  -9  -9  -7  -6  -8 -15 -15 -12  -8  -6  -6  -8
